cluster,robust_mean_daily_kWh,robust_peak_power,robust_load_factor,n_members,cluster_mean_daily_kWh,cluster_mean_peak_power,cluster_mean_load_factor
0,2.622487052217687,1.477637984481509,0.33905932896580343,138,1.2124074185201241,412.94202898550725,0.20684266655075603
1,-0.358099366531164,-0.5101395563077146,-0.1134864593854293,707,0.09441138920415942,31.43140028288543,0.14111336868290938
2,0.5743116888063972,0.12429211853282934,0.7040854299867635,459,0.36146638654187885,65.66013071895425,0.2544148661150122
3,0.2997998989664546,0.8663047579621727,-0.46970871421661675,381,0.2791346471768877,199.55905511811022,0.09191904052377894
outlier,,,,27,4.011178626898787,615.2592592592592,0.3293557275533098
