site_name,month,customer_type,cluster,n_obs,n_total_type_month_site,p_empirical,p_shrunk,p05,p50,p95,uncertainty_width,phi_balanced_tm_cluster,kappa_effective,support_weight,prior_alpha,posterior_alpha
Gbowele,2024-06,HH1,0,2,4,0.5,0.40384615384615385,0.12412517310785205,0.39251388096884443,0.7138195035821574,0.5896943304743053,0.25,2.5,0.16666666666666666,0.625,2.625
Gbowele,2024-06,HH1,1,1,4,0.25,0.266025641025641,0.050749155383633955,0.24139165787909808,0.5737583527024096,0.5230091973187756,0.29166666666666663,2.5,0.16666666666666666,0.7291666666666665,1.7291666666666665
Gbowele,2024-06,HH1,2,1,4,0.25,0.2517806267806268,0.04270894918575126,0.22812304366478664,0.5633132913202326,0.5206043421344813,0.25462962962962965,2.5,0.16666666666666666,0.6365740740740742,1.6365740740740742
Gbowele,2024-06,HH1,3,0,4,0.0,0.056980056980056974,3.06035998116809e-05,0.0222307710910339,0.23689742487183468,0.236866821272023,0.14814814814814814,2.5,0.16666666666666666,0.37037037037037035,0.37037037037037035
Gbowele,2024-06,HH1,inactive,0,4,0.0,0.021367521367521368,4.2746613444195036e-11,0.0005919258841708647,0.09872874839135722,0.0987287483486106,0.05555555555555555,2.5,0.16666666666666666,0.1388888888888889,0.1388888888888889
Gbowele,2024-06,HH1,outlier,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-06,HH2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-06,HH2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-06,HH2,2,1,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.0,0.7142857142857142,0.047619047619047616,0.7142857142857142,1.7142857142857142
Gbowele,2024-06,HH2,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-06,HH2,inactive,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-06,HH2,outlier,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-06,HH3,0,1,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.0,0.7142857142857142,0.047619047619047616,0.7142857142857142,1.7142857142857142
Gbowele,2024-06,HH3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-06,HH3,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-06,HH3,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-06,HH3,inactive,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-06,HH3,outlier,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH1,0,1,4,0.25,0.20192307692307693,0.02149550565521924,0.17104784008322904,0.49039018953212726,0.468894683876908,0.125,2.5,0.16666666666666666,0.3125,1.3125
Gbowele,2024-07,HH1,1,0,4,0.0,0.07122507122507121,0.0001576125224488786,0.03289765413675647,0.28503568445936567,0.2848780719369168,0.18518518518518517,2.5,0.16666666666666666,0.4629629629629629,0.4629629629629629
Gbowele,2024-07,HH1,2,2,4,0.5,0.4537037037037038,0.1590119727149059,0.43762014673908844,0.7527557270207648,0.5937437543058588,0.37962962962962965,2.5,0.16666666666666666,0.9490740740740742,2.9490740740740744
Gbowele,2024-07,HH1,3,1,4,0.25,0.266025641025641,0.04907130714220163,0.24695617696854083,0.5716064557740524,0.5225351486318508,0.29166666666666663,2.5,0.16666666666666666,0.7291666666666665,1.7291666666666665
Gbowele,2024-07,HH1,inactive,0,4,0.0,0.007122507122507122,4.500128148804023e-29,8.750499154108698e-08,0.04170249989204562,0.04170249989204562,0.018518518518518517,2.5,0.16666666666666666,0.046296296296296294,0.046296296296296294
Gbowele,2024-07,HH1,outlier,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.16666666666666666,0.0,0.0
Gbowele,2024-07,HH2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH2,2,1,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.0,0.7142857142857142,0.047619047619047616,0.7142857142857142,1.7142857142857142
Gbowele,2024-07,HH2,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH2,inactive,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH2,outlier,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH3,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH3,2,1,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.0,0.7142857142857142,0.047619047619047616,0.7142857142857142,1.7142857142857142
Gbowele,2024-07,HH3,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH3,inactive,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-07,HH3,outlier,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-08,HH1,0,2,6,0.3333333333333333,0.27235772357723576,0.07697818418821738,0.2518477704407775,0.5130735203428726,0.4360953361546552,0.16666666666666666,3.4615384615384617,0.23076923076923078,0.5769230769230769,2.5769230769230766
Gbowele,2024-08,HH1,1,1,6,0.16666666666666666,0.21457607433217188,0.04313976127834348,0.1889798476397397,0.4456418743006436,0.40250211302230016,0.2976190476190476,3.4615384615384617,0.23076923076923078,1.0302197802197803,2.03021978021978
Gbowele,2024-08,HH1,2,3,6,0.5,0.44773519163763065,0.2027118634092352,0.44756873325589286,0.7065622515462748,0.5038503881370396,0.35714285714285715,3.4615384615384617,0.23076923076923078,1.2362637362637363,4.236263736263736
Gbowele,2024-08,HH1,3,0,6,0.0,0.06533101045296168,0.0010987975508543082,0.03960318396634385,0.22583206105073436,0.22473326349988004,0.17857142857142858,3.4615384615384617,0.23076923076923078,0.6181318681318682,0.6181318681318682
Gbowele,2024-08,HH1,inactive,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,0.23076923076923078,0.0,0.0
Gbowele,2024-08,HH1,outlier,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4615384615384617,0.23076923076923078,0.0,0.0
Gbowele,2024-08,HH2,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-08,HH2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-08,HH2,2,1,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.0,0.7142857142857142,0.047619047619047616,0.7142857142857142,1.7142857142857142
Gbowele,2024-08,HH2,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-08,HH2,inactive,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-08,HH2,outlier,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-08,HH3,0,1,1,1.0,1.0,0.9999999999999999,1.0,1.0,1.1102230246251565e-16,1.0,0.7142857142857142,0.047619047619047616,0.7142857142857142,1.7142857142857142
Gbowele,2024-08,HH3,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
Gbowele,2024-08,HH3,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857142,0.047619047619047616,0.0,0.0
