month,cluster,mean_daily_kWh,n_HH1,n_HH2,n_HH3,pct_HH1,pct_HH2,pct_HH3,peak_power
2025-02,1,0.07194246031746032,15,0,0,45.45454545454545,0.0,0.0,35.46666666666667
2025-02,2,0.3822107142857143,10,0,0,30.303030303030305,0.0,0.0,76.2
2025-02,3,0.3696904761904762,6,0,0,18.181818181818183,0.0,0.0,246.0
2025-02,inactive,0.0,2,0,0,6.0606060606060606,0.0,0.0,0.0
2025-03,0,0.7725967741935484,1,0,0,3.0303030303030303,0.0,0.0,182.0
2025-03,1,0.07740806451612903,13,0,0,39.39393939393939,0.0,0.0,30.923076923076923
2025-03,2,0.39964516129032257,5,0,0,15.151515151515152,0.0,0.0,70.4
2025-03,3,0.3178950391006843,11,0,0,33.333333333333336,0.0,0.0,212.9090909090909
2025-03,inactive,0.0,2,0,0,6.0606060606060606,0.0,0.0,0.0
2025-04,1,0.06416111111111111,12,0,0,36.36363636363637,0.0,0.0,33.333333333333336
2025-04,2,0.31399074074074074,9,0,0,27.272727272727273,0.0,0.0,54.0
2025-04,3,0.29048703703703704,9,0,0,27.272727272727273,0.0,0.0,218.44444444444446
2025-04,inactive,0.0,2,0,0,6.0606060606060606,0.0,0.0,0.0
2025-05,0,0.8652903225806452,1,0,0,2.7777777777777777,0.0,0.0,1180.0
2025-05,1,0.09552259744623656,16,0,0,44.44444444444444,0.0,0.0,34.5
2025-05,2,0.34659216589861747,7,0,0,19.444444444444443,0.0,0.0,60.285714285714285
2025-05,3,0.2891036363636364,11,0,0,30.555555555555557,0.0,0.0,224.0
2025-06,1,0.10048888888888889,18,0,0,48.648648648648646,0.0,0.0,37.22222222222222
2025-06,2,0.3681291666666667,8,0,0,21.62162162162162,0.0,0.0,71.25
2025-06,3,0.23323958333333333,8,0,0,21.62162162162162,0.0,0.0,205.0
2025-06,inactive,0.0,2,0,0,5.405405405405405,0.0,0.0,0.0
2025-07,0,0.7331451612903226,2,0,0,5.0,0.0,0.0,611.0
2025-07,1,0.10062719298245615,19,0,0,47.5,0.0,0.0,38.94736842105263
2025-07,2,0.3048940092165899,9,0,0,22.5,0.0,0.0,61.55555555555556
2025-07,3,0.24306912442396314,7,0,0,17.5,0.0,0.0,344.2857142857143
2025-07,inactive,0.0,2,0,0,5.0,0.0,0.0,0.0
2025-08,1,0.10795161290322582,19,0,0,47.5,0.0,0.0,36.526315789473685
2025-08,2,0.32561143695014666,11,0,0,27.5,0.0,0.0,61.45454545454545
2025-08,3,0.31202073732718894,7,0,0,17.5,0.0,0.0,320.2857142857143
2025-08,inactive,0.0,2,0,0,5.0,0.0,0.0,0.0
2025-09,1,0.09698888888888889,18,0,0,43.90243902439025,0.0,0.0,32.888888888888886
