cluster,n_observations,mean_daily_kwh,median_daily_kwh,mean_peak_w,mean_load_factor,has_support
0,392,0.2505005576812933,0.2525403225806452,91.18877551020408,0.17461248459211307,True
1,785,0.09618155991675618,0.0985483870967742,36.728662420382165,0.13880486920524918,True
2,504,0.6575637942530047,0.484625,239.42857142857142,0.2001800397257123,True
3,4,0.30338811774988084,0.3135999423963134,32.0,0.45209033029592005,False
